Year,Voting_Type,Percentage
2018,Early,28.62510587924906
2018,Election Day,32.39958116976125
2018,Mail,21.57631200216589
2020,Early,64.3098842618307
2020,Election Day,14.393206520844378
2020,Mail,59.116031861383036
2022,Early,7.065009858920241
2022,Election Day,49.48867808352239
2022,Mail,19.307656136451076
